-,date,time,username,name,tweet,geo,Positive,Happy,Relief,Neutral,Anxious,Sad,Negative
1,2020-06-12,14:01:48,jnport,JNPT,take lead tackle help nearby community convert skill training centre covid care hospital hand bed facility ambulance service state authority extend support,"19.071217,72.929863,23km",,,,1,,,
2,2020-06-12,14:01:41,sanjay06367764,Sanjay,antilia ka sirf parking lot isse zyada space milega covid patient,"19.071217,72.929863,23km",,,,,,1,1
3,2020-06-12,14:01:33,htmumbai,HTMumbai,mumbai woman suffer chronic kidney ailment recovers covid report,"19.071217,72.929863,23km",1,,1,,,,
4,2020-06-12,14:01:22,dreamideaz,Dilip Sahani,second covid wave test what need know coronavirus right,"19.071217,72.929863,23km",,,,1,,,
5,2020-06-12,14:01:02,charugujjal,TheMomSagas,blogging covid time what happen blogchatter meet via,"19.071217,72.929863,23km",,,,1,,,
6,2020-06-12,14:00:56,loksattalive,LoksattaLive,राज्य पुन्हा लॉकडाउन ला गू काही होते via,"19.071217,72.929863,23km",,,,1,,,
7,2020-06-12,14:00:13,pppjain,CA PP Jain,million child risk push child labour result covid crisis which could lead first rise child labour after year unicef ilo,"19.071217,72.929863,23km",,,,,,1,1
8,2020-06-12,14:00:00,hpcl_retail,Mera HP pump,forecourt salesman regularly train covid sop customer switch contactless payment mode download pay app io,"19.071217,72.929863,23km",,,,1,,,
9,2020-06-12,13:59:00,diplomaunited,UNITED DIPLOMA DOCTORS ASSOCIATION,urge bring policy medical pg yr covid crisis convert degree md m,"19.071217,72.929863,23km",,,,,1,,
10,2020-06-12,13:58:58,diplomaunited,UNITED DIPLOMA DOCTORS ASSOCIATION,around medical pg student batch who policy md m which start onwards already work covid care await final exam part,"19.071217,72.929863,23km",,,,,1,,
11,2020-06-12,13:58:56,diplomaunited,UNITED DIPLOMA DOCTORS ASSOCIATION,after year struggle promotion medical college etc govt time covid crisis finally importance long discriminate dnb doctor govt hospital medical college part,"19.071217,72.929863,23km",,,1,,,,
12,2020-06-12,13:58:56,rahulm1988,Rahul Mulchandani,issue circular ask doctor prescription get covid test destination state require covid negative certificate avoid institutional quarantine how do proceed,"19.071217,72.929863,23km",,,,1,,,
13,2020-06-12,13:57:51,bandradatahub,Bandra's Data Hub,covid asian heart institute hospital city refuse admit patient need urgent care dr,"19.071217,72.929863,23km",,,,,1,1,
14,2020-06-12,13:57:29,loksattalive,LoksattaLive,झाली,"19.071217,72.929863,23km",,,,1,,,
15,2020-06-12,13:57:14,dreamideaz,Dilip Sahani,lockdown news kerala jharkhand curb covid case spike india news time india,"19.071217,72.929863,23km",1,,1,,,,
16,2020-06-12,13:56:50,uffyehdrama,Mona Vaidya,pehle log ladki kay kay liye paisa rakhte ab covid medical fee kay liye padenge if not what,"19.071217,72.929863,23km",,,,,,,1
17,2020-06-12,13:56:50,epfothanesouth,EPFO THANE SOUTH,dear member per epf scheme claim require within day yet take covid claim priority basis if do not get within time limit file complaint website use epfigms feature section employees’,"19.071217,72.929863,23km",,,,1,,,
