-,date,time,username,name,tweet,geo,Positive,Happy,Relief,Neutral,Anxious,Sad,Negative
0,2020-07-01,23:59:27,hira249,Kamlesh  Shah,and goat meat must ban could infect covid present covid before http fwww amp tf s,Maharashtra,0,0,0,1,0,0,0
1,2020-07-01,23:22:22,sanjayswami19_5,संजय Swami ‌( Jay Shri Ram ),pm narendra modi review vaccination preparation say vaccine must via namo app,Maharashtra,0,0,0,1,0,0,0
2,2020-07-01,23:21:05,gshaikh8,Gaus Shaikh,update update update update update update update update update please pray covid positive,Maharashtra,0,0,0,1,0,0,0
3,2020-07-01,22:45:30,maaafoundation,Make-A-Wish Activities Association(MAA Foundation),daily covid update maharashra mumbai,Maharashtra,0,0,0,1,0,0,0
4,2020-07-01,22:43:44,maaafoundation,Make-A-Wish Activities Association(MAA Foundation),daily covid update maharashra mumbai mumbai,Maharashtra,0,0,0,0,0,0,0
5,2020-07-01,22:29:54,kevinsh20805499,KEVIN SHAH,urgent need admission nana age year today morning get vomit and fever and show covid and not able walk properly day doctor tell might show attack,Maharashtra,0,0,0,0,1,0,0
6,2020-07-01,22:28:12,sanjaya42672963,Sanjaya Kumar Dash,jump covid today k last do not know when tame,Maharashtra,0,0,0,1,0,0,0
7,2020-07-01,22:10:47,sandeep60485683,Sandeep Agarwal,people need change ayurved covid proven indian kept people immune system challenge time,Maharashtra,0,0,0,1,0,0,0
8,2020-07-01,22:01:59,priyanko464,Priyanko Sinha,appreciate and real work day and night during pandemic mortality covid,Maharashtra,0,0,0,1,0,0,0
9,2020-07-01,21:25:35,hanifpatel16,Hanif Patel,new case day and defeat virus via,Maharashtra,0,0,0,1,0,0,0
10,2020-07-01,21:16:23,nitzzo,Nitesh Sharma,hi guy if anyone need medical assistance emergency covid non covid ambulance not able find bed blood or medicine contact u please spread word <SAD>,Maharashtra,0,0,0,0,1,0,0
11,2020-07-01,21:03:21,vasu_mohit,Mohit vasu,student study delivery experience after covid situation system would request help u,Maharashtra,0,0,0,0,0,0,0
12,2020-07-01,20:42:09,ambujgu22699790,Ambuj Gupta,till mar paid total electricity bill due covid situation total bill amount two month which l paid already get bill which totally wrong plz check send actual bill,Maharashtra,0,0,0,0,0,0,1
13,2020-07-01,20:40:15,srinivasjain,Sɾιɳιʋαʂ Jαιɳ,would like during covid day it’s maintain material which product bar material may turn dangerous health,Maharashtra,0,0,0,0,0,0,1
